id,task_1,task_2
8fdf0b18-c2fc3ee4,no-satire,no-satire
9dc9a9cf-7bcd4bc9,satire,satire
4cd9900a-a7f1a786,satire,satire
00d396fa-4214c3b2,no-satire,no-satire
0d40e677-a810c75d,no-satire,no-satire
d89c80ff-c91aa157,no-satire,no-satire
e88689bd-00c87049,satire,satire
2b6c627e-c4d4c4b0,no-satire,no-satire
a0d92122-29fd0041,no-satire,no-satire
f12a0509-b5654471,satire,satire
5be2f8b0-ebea8ea9,satire,satire
2abb3abf-f656e0db,satire,satire
d2b889cf-570d2a4f,no-satire,no-satire
b3150a04-44bd4ea3,no-satire,no-satire
208b912d-fcf9fb33,satire,satire
baf87097-b65d3a7d,satire,satire
7740d3bc-6a14f5ca,no-satire,no-satire
f205a9c9-d683a2b5,no-satire,no-satire
38f9bb58-adfdc128,no-satire,no-satire
a4412038-ce65164a,no-satire,no-satire
3a9aa166-05f59093,satire,satire
aa89d6c7-34b3d52e,satire,satire
12e9caa5-c17314f9,no-satire,no-satire
8188511e-07b525c2,satire,satire
94d7feb1-31fe3d8a,satire,satire
a7b69fd0-1a7a7d2a,satire,satire
bc9f89d1-ce565a7e,no-satire,no-satire
e92b459c-8238484a,no-satire,no-satire
6bde8b22-06bf0da2,no-satire,no-satire
8a7e4a9b-e918b996,satire,satire
5ccdd89e-77dd48a0,no-satire,no-satire
516174bb-a53c9d86,satire,satire
043016b1-1e973702,satire,satire
53ae7674-880d0637,no-satire,no-satire
639109c2-ac27b923,satire,satire
b9a6e0ea-34ef09a1,no-satire,no-satire
90427d65-5d46eac8,satire,satire
3e67a89f-f147d83d,no-satire,no-satire
5cf188d8-9c15efa9,satire,satire
5d84fb2a-e102eab3,satire,satire
cef91da7-e92512a3,satire,satire
270fc818-dfc74d34,satire,satire
2817916a-199e0a71,no-satire,no-satire
b490f259-0f779bd2,no-satire,no-satire
ca07210c-a3910bde,no-satire,no-satire
2d8b4355-23ac33c1,no-satire,no-satire
5e6ca679-5046c79a,satire,satire
0b43d7ad-bb9c4801,no-satire,no-satire
1b990e5a-ae139e19,no-satire,no-satire
6eed369e-f93f79bf,no-satire,no-satire
a637afcb-9aee6707,satire,satire
2ad09777-9477a340,no-satire,no-satire
789db896-12f20b05,satire,satire
77cfc3eb-6bedf7c0,no-satire,no-satire
869ebf60-4da57176,satire,satire
08230b69-57c36f3f,satire,satire
62be449a-449d1b28,satire,satire
a802302e-ee7c4924,no-satire,no-satire
29338854-ee1b414e,no-satire,no-satire
f32fe788-1d798186,satire,satire
438ebe0c-5b7658bd,satire,satire
d10d245f-8b3dcb24,satire,satire
79929dae-809da06b,no-satire,no-satire
8c99125b-7d567891,no-satire,no-satire
b2328671-d800a5a5,no-satire,no-satire
af37a4e3-7f89419b,no-satire,no-satire
22cc18b7-f99cb34d,satire,satire
19570a80-e52e1cc9,no-satire,no-satire
d8a87509-6fa7f6c5,no-satire,no-satire
1fb86bb0-daed6c68,satire,satire
d4cd8574-57a4a61f,satire,satire
f8fb0fae-9255d0e2,no-satire,no-satire
5e639ca4-d5540181,no-satire,no-satire
8cb39148-44da0f1d,satire,satire
cf00277c-e93b75c5,satire,satire
b001c984-ded8d1bb,no-satire,no-satire
32c7c49b-dd07a117,no-satire,no-satire
29f60344-eaed3827,satire,satire
06f5b398-9cd8cae6,satire,satire
45d0323c-2c55ec39,no-satire,no-satire
1767deed-f7036002,no-satire,no-satire
ed48b483-8fa8e1e1,satire,satire
9ded55da-95c9aaa6,satire,satire
e1ee5b50-85455902,satire,satire
e6445292-441f45a3,no-satire,no-satire
91862204-f856a61a,no-satire,no-satire
3f502623-d7adbea4,satire,satire
d1067f83-63f0443e,satire,satire
82b965c9-967dcfe2,satire,satire
33781d75-110c8135,no-satire,no-satire
1d78c1e9-7f3da529,satire,satire
ac46436f-80920b1b,no-satire,no-satire
c6a42207-7596df5f,satire,satire
9a83bfe3-0a93f015,no-satire,no-satire
0125fcea-c910c2c9,satire,satire
79af6640-a883024e,no-satire,no-satire
0767e23c-516da568,no-satire,no-satire
e91fae61-02d862f9,no-satire,no-satire
59459676-bce2bb4b,no-satire,no-satire
c921df16-78f81f88,no-satire,no-satire
1b1747fb-9f8ceb07,no-satire,no-satire
6bae845f-ceb91711,no-satire,no-satire
a0b75e49-5c7b1585,no-satire,no-satire
d9fe289e-fa03ba3a,satire,satire
c63610be-1307e6cd,no-satire,no-satire
ea9316ea-35fe644c,no-satire,no-satire
3967dbf6-57e47399,satire,satire
fe0e4e48-39ea0a8f,no-satire,no-satire
f2f4163f-14cd60ef,satire,satire
6e250b85-ffca9363,satire,satire
7a2f6843-a3e21b54,no-satire,no-satire
22f2ef2f-103964ab,no-satire,no-satire
3919d7f4-ac00bd81,no-satire,no-satire
8302a4b4-ec2ffccb,no-satire,no-satire
e709e06d-f63df813,no-satire,no-satire
811140fc-8e708947,satire,satire
e1a1a563-73ebf7f1,satire,satire
5b97747c-a4aca1b4,satire,satire
c3953a84-90389282,no-satire,no-satire
33260712-98c66cd4,satire,satire
280cd62c-91810320,no-satire,no-satire
9b8297ce-28626cda,satire,satire
34e1d8e5-b60ea882,satire,satire
1e9fc014-f0b48371,satire,satire
bd6047bb-5001540a,satire,satire
166ded29-864a3053,satire,satire
c234e908-88ea8cbf,no-satire,no-satire
cf36c9cf-3592f6fd,no-satire,no-satire
55a495e0-6aacf691,satire,satire
1847293e-fb70535a,satire,satire
eeec62d7-2e97e61f,no-satire,no-satire
8c489980-61f55b95,no-satire,no-satire
015b995d-b322bb7d,satire,satire
eebdb176-23f41919,no-satire,no-satire
6459a8e2-f6fd8255,satire,satire
692b0e3f-a5d9101a,satire,satire
45a5feef-f34e0fd5,no-satire,no-satire
11f12d9f-b5c38036,no-satire,no-satire
f929aa96-c8f98e6b,satire,satire
fe99cd86-b6075df0,no-satire,no-satire
5e6d570a-c5224915,no-satire,no-satire
fbfcf2ad-02bd71bf,satire,satire
7a5b6386-b0a3b212,no-satire,no-satire
955c171f-fb91094f,no-satire,no-satire
0ff71c38-71a9d9d9,no-satire,no-satire
7e957942-3b133a9b,satire,satire
e3188cd4-e685d279,no-satire,no-satire
97e3a56b-6178621f,no-satire,no-satire
2fcd3c86-a1dc8ab4,satire,satire
0e5aa1a2-c7064ba8,no-satire,no-satire
937948cf-54414110,satire,satire
ff2b6f08-81a5ff5d,satire,satire
b89973f7-9997968b,no-satire,no-satire
8a103da7-e78aa69a,satire,satire
9f71400e-543ba238,satire,satire
f5944587-e835c6d9,no-satire,no-satire
8d972d25-03dc5682,no-satire,no-satire
3278cc90-300f710c,satire,satire
6a765aa6-f9e617e8,satire,satire
138517a9-8395844f,satire,satire
fee78fea-b0507233,no-satire,no-satire
bd1808f8-7bb2dd33,satire,satire
13858bc8-1d83d7c0,no-satire,no-satire
0b3baadd-a079b6f9,satire,satire
c88a3ba6-a578037a,satire,satire
032aa71b-6117e931,satire,satire
0488569e-11e35d91,no-satire,no-satire
07ab9c86-16f8f248,satire,satire
6b2e91df-de05d46f,satire,satire
1a33b4f9-a603a5d3,no-satire,no-satire
de49b8f4-0957779b,no-satire,no-satire
7d249bbc-7bacdc35,no-satire,no-satire
c1b50518-4e459d08,satire,satire
cb818ef8-12bc2068,satire,satire
d7706d3a-3fd7a2d1,no-satire,no-satire
f751c3dc-ea2944a2,satire,satire
e8d0a51e-840b3228,satire,satire
d725026e-9c181fc9,satire,satire
0d57ff50-ee385b8b,no-satire,no-satire
bf37ddaa-349dd54f,satire,satire
aefcd9b9-2578c37d,satire,satire
3e58d0be-0ccb2393,no-satire,no-satire
64fa7e84-181023b8,satire,satire
a05b429c-e151b600,satire,satire
e9cda540-fd6bdace,no-satire,no-satire
1ce42a46-7839a5c8,no-satire,no-satire
ba3962d2-d648d037,satire,satire
8c184430-77c72805,no-satire,no-satire
768c1ffd-efad21fb,no-satire,no-satire
16ec47ad-163fe0b6,satire,satire
0442e566-3c95d396,no-satire,no-satire
47834650-e92681c8,no-satire,no-satire
dc7d8f33-58ff67d4,satire,satire
01d60439-b921ebda,satire,satire
ed8b64af-9a911f0a,no-satire,no-satire
b762adac-f696923c,satire,satire
3ebf3c07-18e1beed,satire,satire
3fe2e875-e56cec66,satire,satire
6c4cc10c-b7393ac2,satire,satire
cf19b84a-e1a853dd,no-satire,no-satire
02a5c4c0-3f2eaf1d,no-satire,no-satire
a9c674f8-59ad6a2f,no-satire,no-satire
cb675229-455a1afd,no-satire,no-satire
3b312038-4bdec253,satire,satire
e860ebf4-f314b8b7,no-satire,no-satire
3ccc942f-735e7d41,satire,satire
3c7ac8bb-0f6392f7,satire,satire
8e5ccc8d-716c7ab2,no-satire,no-satire
8cac0189-60bf7743,no-satire,no-satire
884beef1-d94ddc41,satire,satire
fc257cde-15254ec0,satire,satire
0ed70e23-4309a58b,no-satire,no-satire
c198f1f0-a0f213a1,satire,satire
41568457-e9b15535,satire,satire
5c8ce4e5-c139c9cd,satire,satire
3efd64fa-8b93f36c,no-satire,no-satire
7e5a7cbf-3f9932eb,satire,satire
e70c0245-f2b62ca1,satire,satire
918b7be2-78f84b23,satire,satire
77664a8a-9c5fce70,no-satire,no-satire
a1b4e074-076f418a,satire,satire
5d01002b-f46967e6,no-satire,no-satire
d214d434-704ea01d,no-satire,no-satire
c51c8846-7626bac3,satire,satire
6488ff80-c8a9286c,satire,satire
8fb38571-03d1dec0,satire,satire
d5a8394c-c04ecbd1,satire,satire
2ff3d1a8-0b30cb52,no-satire,no-satire
14383686-cdac8b45,satire,satire
0468ab30-cf7a070c,no-satire,no-satire
b2a8db15-01eaa874,satire,satire
967719b9-8d16a6e4,no-satire,no-satire
f4ffc941-a7feab46,satire,satire
ede42c56-507967b9,no-satire,no-satire
7f21bd02-35cc3eb2,satire,satire
14f2eefe-eec1f96e,no-satire,no-satire
5cf6a926-d25a23f5,satire,satire
7c376141-5be43558,no-satire,no-satire
053c7322-67795e75,satire,satire
d2c9a607-fa6d4532,satire,satire
5da4f4c5-2ca441f8,satire,satire
36972aa5-fb1c02bf,satire,satire
267ce990-8ea2b876,no-satire,no-satire
786b733a-dbc831a0,satire,satire
312626d6-122dcce1,satire,satire
91e66973-45637db1,satire,satire
7c99fa65-80e32112,no-satire,no-satire
d023f403-06f0b17d,satire,satire
4718ca05-0bc31662,satire,satire
9379ab9e-c2e019fa,no-satire,no-satire
cdeda154-d6fc1310,satire,satire
03f08c0e-f5c48a88,no-satire,no-satire
dc14ab5b-6b7e877e,no-satire,no-satire
dd5e1e11-63ba90e5,satire,satire
9aac0c17-ecc9ee72,no-satire,no-satire
c70bd9ea-aeda9569,satire,satire
78409e34-f56e92a3,no-satire,no-satire
67443976-f0bfcdba,no-satire,no-satire
9f4c9152-3d3e45a6,satire,satire
1f7edbe5-e7a86834,no-satire,no-satire
563c690f-8ee62854,satire,satire
b5b6411c-7b7fe1f0,no-satire,no-satire
1da020f5-9b04617e,satire,satire
e555822e-b0c0cb11,no-satire,no-satire
c6e25c70-3e0b5090,no-satire,no-satire
2be7a429-025f8570,satire,satire
49126139-518b2986,satire,satire
13b24431-b96e8ed1,satire,satire
e1ee5712-c9d69d6b,no-satire,no-satire
4c69e5da-6706ed16,no-satire,no-satire
481d3c4c-26b6de87,satire,satire
36e1e881-e84654b1,satire,satire
5730853e-b4a8ac91,no-satire,no-satire
0ba8ecba-5f398a0a,no-satire,no-satire
50eadbf0-1d4bbc27,satire,satire
c4ead66c-73e29d9d,no-satire,no-satire
88a4d823-e0561b63,satire,satire
9a68e1a1-59ecdddc,satire,satire
29aa96b8-665fa7ca,satire,satire
9c14db62-d7ff0c05,no-satire,no-satire
93ba88f6-557afa15,no-satire,no-satire
a850e099-99f96863,no-satire,no-satire
5c588742-3f5974e1,satire,satire
e3176b3e-d755ff6e,no-satire,no-satire
1a95ab8e-53e3148c,no-satire,no-satire
dc2abc43-29be1c92,satire,satire
eb39aa47-032c404f,satire,satire
f11c980e-e5ca1149,satire,satire
6a837904-81fe8e33,no-satire,no-satire
5b68ad6f-5714d988,no-satire,no-satire
1394cb39-8c90957e,no-satire,no-satire
808d982c-939124c7,no-satire,no-satire
6af9ab15-856de338,satire,satire
dd4c14ec-aca2a41c,no-satire,no-satire
6507f6bf-e58a93ad,no-satire,no-satire
269401b6-aa73abc1,no-satire,no-satire
81fd1a22-6bf7e9ab,no-satire,no-satire
4afe319d-ad6f18bb,satire,satire
21860345-6bafda79,satire,satire
82ffe052-e5d38a42,satire,satire
4bfde41f-989b722b,satire,satire
2bafde98-6ba93399,satire,satire
4ad0d9c8-2ab81a94,no-satire,no-satire
cbed0013-947b3e48,no-satire,no-satire
b7fff59f-8c60c6e0,no-satire,no-satire
ca6b6b95-cefcda56,no-satire,no-satire
17f135a0-5dbaf39a,no-satire,no-satire
15ba1e66-64df4d65,no-satire,no-satire
5e86a04f-e8b45716,satire,satire
c4f4f719-a8023fda,no-satire,no-satire
fae1cee4-a5378459,no-satire,no-satire
b33d2b15-c45fed09,satire,satire
5ea7b796-bce06408,satire,satire
2c7614c8-973a89a5,no-satire,no-satire
0d3e6830-dd496e03,satire,satire
f9681651-dc4c43b3,no-satire,no-satire
306421f9-f85864a2,satire,satire
954c26c7-576ceb90,satire,satire
9bc831c8-bdbcc2ca,satire,satire
4149fda0-3813b723,no-satire,no-satire
9cf4dedc-d5e9e942,satire,satire
a6bcc624-90fdeac3,satire,satire
6d0b2b20-a8031840,no-satire,no-satire
e5931fbf-f9296fe1,satire,satire
08351259-3f628624,no-satire,no-satire
cade5b5c-4bfbfbbd,satire,satire
b5c4155e-232401b2,no-satire,no-satire
efd77313-7e6d3c3d,satire,satire
0548a29c-960e575f,satire,satire
a63dce8c-56f0f977,satire,satire
de20dcc9-d678fdf0,satire,satire
1e65b9fb-e83eee22,satire,satire
b06b4ce7-d90ee452,satire,satire
2e18f8fd-504d5e3f,satire,satire
0e0c1345-52488d19,no-satire,no-satire
49247842-8a58d9f5,no-satire,no-satire
2a7f3ff3-47d3634c,no-satire,no-satire
533df8da-de2e68f6,satire,satire
816b1c63-43d2c387,no-satire,no-satire
af84ad34-83d7f140,satire,satire
